Ka Tech,Co-Founder & Backend Developer,Remote,06/2024,Present,"Co-founded a startup serving small businesses custom websites and software, acquiring initial clients within 2 months of launch for custom sites and web apps.",Led an agile cross-functional team of 10 developers to deliver features and bug fixes.,"Scaled company MMR by $650+ within 5 months of deploying RealDoc, a subscription based web app."
Intel,BIOS Firmware Intern,Remote,06/2023,12/2023,Performed cross-platform integrations of Memory Reference Code on by porting features and bug fixes for an unreleased flagship product. Tested and passed +9 changes on silicon.,Reduced debugging overhead in log retrieval by ~15% for firmware developers by implementing Jenkins CI features for artifact archiving and dashboard synchronization.,"Improved team onboarding process and firmware documentation by authoring/maintaining +20 pages for CI, MRC, debugging processes, and best known practices."
Tektronix,Operations Intern,"Beaverton, OR",03/2022,12/2022,Created Robotic Process Automation POCs for planners and buyers to save ~60% of time spent rescheduling orders and parts trolling using UiPath.,Developed a machine learning based visual inspection system 20% more consistent than human operators in detecting defects by training a neural network on manufacturing data.,
Chemeketa,CAPS Assistant,"Salem, OR",07/2019,03/2020,Served as front desk reception for the college’s access programs office handing phone calls and performing data entry.,Provided technical support to staff occasionally and unofficial CS tutoring in unique cases.,
